"","Tempo","Tipo","Pacote"
"9","04:15","Comum","Comum_2"
"3","04:00","Comum","Comum_5"
"8","04:15","Comum","Comum_1"
"10","04:15","Premium","Premium_1"
"7","04:15","Comum","Comum_3"
"15","04:30","Comum","Comum_4"
"18","04:30","Premium","Premium_5"
"17","04:30","Premium","Premium_4"
"4","04:00","Premium","Premium_2"
"1","04:00","Comum","Comum_3"
"11","04:15","Premium","Premium_2"
"14","04:30","Comum","Comum_3"
"5","04:00","Premium","Premium_5"
"13","04:30","Comum","Comum_5"
"16","04:30","Premium","Premium_1"
"2","04:00","Comum","Comum_2"
"12","04:15","Premium","Premium_3"
"6","04:00","Premium","Premium_4"
